531,100seq,Sequence 100,Sequence 250,Transformer Encoder,LSTM
1,-0.049656868,0.188323917,-0.033797741,-0.550689459,-3.936056137
2,0.014732003,0.376647834,0.040593982,-0.224771976,-0.179480076
3,0.024021685,0.564971751,0.045891523,-0.176066041,0.065961182
4,0.03649497,0.753295669,0.060414851,-0.087758303,0.089715302
5,0.052679658,0.941619586,0.0628649,0.082799733,0.113673389
6,0.054341435,1.129943503,0.085199833,0.096084297,0.11606878
7,0.060307145,1.31826742,0.113851428,0.099438548,0.123276234
8,0.065146029,1.506591337,0.116099596,0.110510826,0.148452103
9,0.073321819,1.694915254,0.117217183,0.13136369,0.185734868
10,0.079615057,1.883239171,0.118797243,0.14295423,0.190271854
11,0.099749684,2.071563089,0.119294882,0.146859825,0.210113585
12,0.103756607,2.259887006,0.127314866,0.170648813,0.237795293
13,0.10889411,2.448210923,0.127908051,0.180092335,0.239028335
14,0.111465752,2.63653484,0.134905934,0.182070017,0.265137017
15,0.114887595,2.824858757,0.140967369,0.208985567,0.290855706
16,0.115389884,3.013182674,0.141240001,0.256293833,0.299356163
17,0.116541028,3.201506591,0.147076368,0.265597045,0.311517835
18,0.122446477,3.389830508,0.14759922,0.27397424,0.315790057
19,0.12662679,3.578154426,0.149024785,0.277230024,0.320134401
20,0.131485343,3.766478343,0.153955638,0.279582143,0.328334928
21,0.132958889,3.95480226,0.154564142,0.293457627,0.328453064
22,0.136553228,4.143126177,0.157371342,0.303485096,0.329893351
23,0.136873484,4.331450094,0.160256624,0.311805844,0.330138743
24,0.142305315,4.519774011,0.165298998,0.329508901,0.35766077
25,0.142567933,4.708097928,0.170276403,0.333646715,0.362908363
26,0.142844319,4.896421846,0.174571633,0.337829053,0.364092231
27,0.146022677,5.084745763,0.175544381,0.352763832,0.379206657
28,0.150338888,5.27306968,0.176734447,0.361037552,0.380997896
29,0.150563538,5.461393597,0.177893162,0.364457071,0.383229136
30,0.153205693,5.649717514,0.187105179,0.372938275,0.38521415
31,0.156068802,5.838041431,0.187842965,0.377375543,0.385758996
32,0.156133056,6.026365348,0.18920356,0.381755888,0.389610589
33,0.158925056,6.214689266,0.189908683,0.381999969,0.391550541
34,0.161779881,6.403013183,0.190234721,0.396580935,0.394664884
35,0.162655771,6.5913371,0.193443298,0.400436401,0.394904792
36,0.169295549,6.779661017,0.194540739,0.400462925,0.396605551
37,0.173734069,6.967984934,0.198427081,0.402906775,0.398060501
38,0.181382,7.156308851,0.202325106,0.406906247,0.399242997
39,0.186732531,7.344632768,0.204129457,0.407250643,0.411834419
40,0.189405739,7.532956685,0.208925128,0.414321125,0.414577901
41,0.189472079,7.721280603,0.209786296,0.414868712,0.418297589
42,0.191511214,7.90960452,0.214692116,0.420814037,0.418449342
43,0.193180263,8.097928437,0.214894772,0.423303187,0.424270988
44,0.198054969,8.286252354,0.220475554,0.423817098,0.429832995
45,0.199726582,8.474576271,0.222096503,0.423821151,0.431918263
46,0.201463044,8.662900188,0.222187579,0.426255882,0.433043659
47,0.203674853,8.851224105,0.224663854,0.426326931,0.447982609
48,0.204777241,9.039548023,0.227663159,0.42799598,0.450082302
49,0.2106148,9.22787194,0.230300784,0.428731978,0.453907192
50,0.211161613,9.416195857,0.230635762,0.442932367,0.454567432
51,0.219799757,9.604519774,0.23433274,0.444336355,0.460021555
52,0.221098185,9.792843691,0.245777011,0.446798921,0.461952507
53,0.221490324,9.981167608,0.246326387,0.449344873,0.461987913
54,0.222736597,10.16949153,0.247585177,0.45002991,0.472273409
55,0.223308206,10.35781544,0.248153031,0.460706055,0.473450959
56,0.227665126,10.54613936,0.249117315,0.462987125,0.479430974
57,0.228192568,10.73446328,0.252011776,0.46320492,0.479815602
58,0.231448412,10.92278719,0.255897939,0.46789366,0.480743885
59,0.234608293,11.11111111,0.25639838,0.46865803,0.485285044
60,0.238039255,11.29943503,0.257883728,0.470094502,0.486993313
61,0.243782401,11.48775895,0.26090616,0.471773148,0.48741442
62,0.244593322,11.67608286,0.26178962,0.474443793,0.489817083
63,0.245146871,11.86440678,0.263553143,0.476649225,0.494362056
64,0.245297611,12.0527307,0.265203476,0.479845524,0.494818807
65,0.246765196,12.24105461,0.267574191,0.483053327,0.495132804
66,0.247440636,12.42937853,0.267650962,0.48366189,0.495874107
67,0.25078702,12.61770245,0.270244539,0.485310078,0.496509731
68,0.25246942,12.80602637,0.270400465,0.486758113,0.501123786
69,0.254747212,12.99435028,0.272364318,0.492272854,0.504873842
70,0.255850792,13.1826742,0.272818625,0.49259907,0.513397962
71,0.26198262,13.37099812,0.272963703,0.49516809,0.51528874
72,0.265026331,13.55932203,0.27367121,0.503175586,0.515626818
73,0.270343065,13.74764595,0.275010347,0.504471183,0.516193062
74,0.27124691,13.93596987,0.275352359,0.506721675,0.516586095
75,0.272171497,14.12429379,0.275561333,0.507744461,0.51859495
76,0.275995195,14.3126177,0.278156161,0.509988219,0.520032585
77,0.282431126,14.50094162,0.278307378,0.511558384,0.521946907
78,0.282861054,14.68926554,0.278694093,0.514665961,0.526634097
79,0.284435153,14.87758945,0.279609442,0.515341938,0.526734024
80,0.285850883,15.06591337,0.280041039,0.51808098,0.52824527
81,0.286357224,15.25423729,0.280132711,0.519028217,0.530394375
82,0.286563098,15.44256121,0.281296611,0.519990325,0.530680805
83,0.287525415,15.63088512,0.281398952,0.520987809,0.531584263
84,0.287863374,15.81920904,0.282558799,0.529122829,0.531988174
85,0.288540781,16.00753296,0.282920599,0.529856384,0.532381684
86,0.28922224,16.19585687,0.284619868,0.531074286,0.534363508
87,0.289420307,16.38418079,0.284994364,0.531930059,0.534925401
88,0.290893495,16.57250471,0.28538084,0.532839209,0.536744028
89,0.29179424,16.76082863,0.285859764,0.537157655,0.536973238
90,0.292094469,16.94915254,0.287495315,0.538111091,0.538712591
91,0.292097151,17.13747646,0.287719429,0.538829327,0.539011449
92,0.292260706,17.32580038,0.288683951,0.545523494,0.541481555
93,0.29303503,17.51412429,0.289139092,0.546397895,0.542893171
94,0.293498755,17.70244821,0.289712489,0.552469343,0.543392837
95,0.294281363,17.89077213,0.289836109,0.558794618,0.543819815
96,0.294799984,18.07909605,0.292810619,0.559370011,0.545260608
97,0.295015812,18.26741996,0.293173015,0.559370846,0.546515524
98,0.295015812,18.45574388,0.293692112,0.561352193,0.5475007
99,0.296866417,18.6440678,0.296030223,0.566185623,0.547748178
100,0.297345996,18.83239171,0.296592474,0.567638069,0.547909141
101,0.299949944,19.02071563,0.298403561,0.567750782,0.549868435
102,0.300417602,19.20903955,0.302999079,0.569239885,0.551299274
103,0.302181721,19.39736347,0.303570628,0.570333093,0.553834468
104,0.303323925,19.58568738,0.305148304,0.572582096,0.55769363
105,0.30422616,19.7740113,0.30570811,0.574998498,0.561458319
106,0.304502726,19.96233522,0.30780679,0.575338423,0.565183401
107,0.304736912,20.15065913,0.309952021,0.576227874,0.569559216
108,0.306351423,20.33898305,0.311313391,0.576603085,0.574400991
109,0.307871819,20.52730697,0.312079787,0.57708618,0.575045437
110,0.311179042,20.71563089,0.312728226,0.583136261,0.575181961
111,0.312611222,20.9039548,0.313275635,0.583303422,0.578484565
112,0.313788354,21.09227872,0.313503027,0.584348142,0.580186367
113,0.314486921,21.28060264,0.314867139,0.586499691,0.582001626
114,0.316213191,21.46892655,0.318074763,0.587253988,0.583212018
115,0.316904187,21.65725047,0.322655141,0.588317424,0.583682477
116,0.318882704,21.84557439,0.324448824,0.589005321,0.585788012
117,0.32468009,22.03389831,0.330424547,0.589712888,0.587285906
118,0.326497138,22.22222222,0.330791712,0.591902077,0.588801175
119,0.328708351,22.41054614,0.332747698,0.592553049,0.590866327
120,0.32885325,22.59887006,0.336999297,0.592694253,0.593362868
121,0.339150846,22.78719397,0.340781689,0.595805913,0.594435036
122,0.339356184,22.97551789,0.343515038,0.599947453,0.596548706
123,0.34046787,23.16384181,0.343815744,0.601375729,0.596722811
124,0.342807114,23.35216573,0.344412148,0.601578057,0.596965224
125,0.346522212,23.54048964,0.345986962,0.601988196,0.597242951
126,0.34850812,23.72881356,0.347531796,0.602309644,0.599674284
127,0.349987328,23.91713748,0.349379718,0.602416515,0.599710464
128,0.351581454,24.10546139,0.351496637,0.60256657,0.601745695
129,0.353090465,24.29378531,0.351882815,0.603169501,0.603083134
130,0.353664815,24.48210923,0.352031648,0.603697032,0.603789151
131,0.354765475,24.67043315,0.354365587,0.603872359,0.604399711
132,0.357099533,24.85875706,0.355021954,0.604669839,0.605177641
133,0.359607518,25.04708098,0.357646763,0.605498195,0.606444925
134,0.364062667,25.2354049,0.357775509,0.605682462,0.606615663
135,0.368795514,25.42372881,0.35950464,0.605818748,0.608656049
136,0.370597422,25.61205273,0.359802186,0.606589079,0.608731091
137,0.370745301,25.80037665,0.360031366,0.606942564,0.612475902
138,0.37529999,25.98870056,0.36084497,0.607240945,0.613064051
139,0.375666499,26.17702448,0.361408532,0.607358247,0.617287427
140,0.37586832,26.3653484,0.362664878,0.607676387,0.617459148
141,0.378522277,26.55367232,0.363758624,0.609353632,0.61904636
142,0.382798493,26.74199623,0.364208519,0.610333532,0.62055254
143,0.383104742,26.93032015,0.369714856,0.61121428,0.622331917
144,0.383225679,27.11864407,0.372018158,0.6135782,0.622776777
145,0.386051774,27.30696798,0.372072339,0.613700897,0.623563677
146,0.387394845,27.4952919,0.372826755,0.61817804,0.627736211
147,0.387741983,27.68361582,0.379790127,0.620683134,0.630444169
148,0.388211727,27.87193974,0.380618393,0.620739371,0.631094128
149,0.388715386,28.06026365,0.381912291,0.6208269,0.631268233
150,0.390033662,28.24858757,0.382565498,0.620855957,0.631390631
151,0.390686393,28.43691149,0.387798965,0.621516883,0.631912768
152,0.391463101,28.6252354,0.388185143,0.623010814,0.632280082
153,0.392744541,28.81355932,0.391267002,0.62315467,0.634203643
154,0.393428028,29.00188324,0.391447842,0.623888522,0.634647012
155,0.394261122,29.19020716,0.392987967,0.626369745,0.637553245
156,0.395066142,29.37853107,0.395117223,0.628367335,0.637842923
157,0.395865202,29.56685499,0.397617102,0.629710823,0.638552159
158,0.400466084,29.75517891,0.399389863,0.630249351,0.639141202
159,0.401316941,29.94350282,0.399759412,0.63025555,0.639239222
160,0.402400434,30.13182674,0.400241733,0.630536258,0.640581787
161,0.406191528,30.32015066,0.402373433,0.633667082,0.641034931
162,0.409377635,30.50847458,0.40380317,0.634475589,0.642798245
163,0.410516024,30.69679849,0.404591978,0.634676993,0.643744528
164,0.41173619,30.88512241,0.405928493,0.635235369,0.644368142
165,0.411800206,31.07344633,0.406821191,0.635498673,0.644395649
166,0.41373843,31.26177024,0.410958648,0.635954469,0.644480139
167,0.416322529,31.45009416,0.413510501,0.638141781,0.64568004
168,0.419197977,31.63841808,0.415055096,0.639461488,0.645700455
169,0.423199356,31.826742,0.417266726,0.639683872,0.645715684
170,0.423786104,32.01506591,0.418617606,0.64022094,0.646068215
171,0.424555123,32.20338983,0.419003308,0.640773505,0.646119148
172,0.428109348,32.39171375,0.419184923,0.641287416,0.646445543
173,0.432356298,32.58003766,0.420679927,0.64196375,0.646903664
174,0.434933186,32.76836158,0.42194289,0.642280221,0.646932334
175,0.437498629,32.9566855,0.425595522,0.642409086,0.64725697
176,0.437784493,33.14500942,0.425930798,0.643675685,0.647338837
177,0.437953234,33.33333333,0.426175952,0.643737972,0.648054481
178,0.438512683,33.52165725,0.432695866,0.644544303,0.649016172
179,0.440326333,33.70998117,0.433462381,0.64663437,0.64949286
180,0.441531897,33.89830508,0.434604883,0.648997337,0.649662793
181,0.44243443,34.086629,0.436588466,0.652103662,0.650562257
182,0.44431448,34.27495292,0.437582731,0.654065788,0.651648074
183,0.44480139,34.46327684,0.43886888,0.654973567,0.652263135
184,0.445863366,34.65160075,0.439185143,0.655882001,0.65301913
185,0.446380019,34.83992467,0.441276014,0.656311512,0.654136568
186,0.447799325,35.02824859,0.441602111,0.657378793,0.654187351
187,0.448020279,35.2165725,0.442193866,0.6587421,0.654314518
188,0.448201358,35.40489642,0.445124745,0.658964634,0.655276835
189,0.448343635,35.59322034,0.445939302,0.659414291,0.656122595
190,0.448879063,35.78154426,0.447563469,0.65981853,0.658812255
191,0.449572325,35.96986817,0.450597763,0.659983635,0.659151316
192,0.449673891,36.15819209,0.450679541,0.661441028,0.66058141
193,0.453378558,36.34651601,0.452050745,0.662518084,0.661091715
194,0.454878032,36.53483992,0.452272177,0.663271576,0.661549628
195,0.455226541,36.72316384,0.453657031,0.663879871,0.662276775
196,0.456048071,36.91148776,0.453811824,0.664011151,0.662734509
197,0.457016349,37.09981168,0.457162678,0.664203554,0.663944006
198,0.457132399,37.28813559,0.457493067,0.665381253,0.664360046
199,0.458103299,37.47645951,0.459517479,0.665586799,0.664546251
200,0.46192795,37.66478343,0.461043894,0.665988117,0.665508211
201,0.464513719,37.85310734,0.461372912,0.666102588,0.665670633
202,0.466920912,38.04143126,0.461933017,0.666535378,0.66608119
203,0.468344569,38.22975518,0.462070644,0.667397916,0.668793589
204,0.468393683,38.4180791,0.462177396,0.669057459,0.669716477
205,0.469768107,38.60640301,0.463510931,0.669224977,0.669863939
206,0.475647748,38.79472693,0.467107832,0.669941753,0.670045465
207,0.476918936,38.98305085,0.471165419,0.670472622,0.670200169
208,0.479071856,39.17137476,0.47147882,0.670634687,0.670217872
209,0.479310811,39.35969868,0.472493589,0.670748919,0.670347154
210,0.48535496,39.5480226,0.473489046,0.671783507,0.670797825
211,0.48723191,39.73634652,0.473566413,0.673085481,0.670876563
212,0.488806248,39.92467043,0.477615356,0.673967272,0.671121448
213,0.489021778,40.11299435,0.478058696,0.674336404,0.671907008
214,0.490469873,40.30131827,0.478239655,0.674381346,0.673867106
215,0.490876853,40.48964218,0.478537142,0.674426466,0.67393434
216,0.491565824,40.6779661,0.479544997,0.676730096,0.675127327
217,0.49195087,40.86629002,0.48709923,0.677257836,0.676665753
218,0.492029488,41.05461394,0.489259958,0.678411484,0.677120537
219,0.493250132,41.24293785,0.4894315,0.678769529,0.678279251
220,0.498306334,41.43126177,0.489613056,0.678792059,0.678565472
221,0.498829961,41.61958569,0.49038738,0.679789871,0.678577751
222,0.499049544,41.8079096,0.491772592,0.679927617,0.678614229
223,0.499368727,41.99623352,0.493481398,0.680003643,0.678890795
224,0.502124131,42.18455744,0.493878603,0.680107445,0.678968936
225,0.503603011,42.37288136,0.494074106,0.681024373,0.679356426
226,0.507370114,42.56120527,0.497165561,0.681587398,0.6795609
227,0.508360654,42.74952919,0.498630285,0.682650745,0.68065989
228,0.508762777,42.93785311,0.49951601,0.6831806,0.680855542
229,0.511377931,43.12617702,0.500432462,0.683223099,0.680869132
230,0.514028013,43.31450094,0.503030688,0.684220254,0.68105498
231,0.51675579,43.50282486,0.503503412,0.686108887,0.682661206
232,0.517618299,43.69114878,0.505827129,0.686520725,0.682831556
233,0.518039316,43.87947269,0.506572664,0.686592847,0.683104575
234,0.518812329,44.06779661,0.508465976,0.687111437,0.683307409
235,0.519311726,44.25612053,0.50894168,0.687243491,0.684135854
236,0.519730985,44.44444444,0.509904236,0.688957721,0.684315562
237,0.520450622,44.63276836,0.511965722,0.69007507,0.684759319
238,0.520797253,44.82109228,0.513076544,0.690525353,0.686341941
239,0.52293396,45.0094162,0.513640821,0.690713078,0.686724037
240,0.524509668,45.19774011,0.515712202,0.690724641,0.687014997
241,0.524664313,45.38606403,0.516898185,0.691200763,0.688015372
242,0.524868608,45.57438795,0.517921388,0.692100197,0.68846637
243,0.524909616,45.76271186,0.519579619,0.692483455,0.690717399
244,0.526954323,45.95103578,0.520987421,0.692585379,0.690808177
245,0.52815026,46.1393597,0.524412036,0.692608505,0.690872401
246,0.530758649,46.32768362,0.525095463,0.692721516,0.690962791
247,0.53324914,46.51600753,0.526895612,0.693119347,0.69117716
248,0.533575207,46.70433145,0.530493587,0.693152696,0.692313999
249,0.534590244,46.89265537,0.530886829,0.693541378,0.692687303
250,0.534828931,47.08097928,0.53394559,0.693547845,0.693992525
251,0.53494069,47.2693032,0.534681052,0.694961607,0.695006788
252,0.53654933,47.45762712,0.535548747,0.695117444,0.695310205
253,0.536801249,47.64595104,0.535591781,0.695327103,0.695367098
254,0.537973106,47.83427495,0.537918299,0.695405543,0.695647269
255,0.540901721,48.02259887,0.539151371,0.695418477,0.695686787
256,0.542803437,48.21092279,0.539928377,0.696146935,0.695991963
257,0.543269753,48.3992467,0.540133089,0.696160823,0.700081021
258,0.543959469,48.58757062,0.540703595,0.696518481,0.700209856
259,0.544761032,48.77589454,0.543186247,0.697164506,0.700450689
260,0.544867873,48.96421846,0.543581337,0.697653532,0.700705528
261,0.547408611,49.15254237,0.544998646,0.698871404,0.70083046
262,0.548438042,49.34086629,0.545334011,0.699236989,0.701097369
263,0.551324904,49.52919021,0.545957506,0.700183421,0.701485485
264,0.552330613,49.71751412,0.546484679,0.700206012,0.70156759
265,0.55303213,49.90583804,0.546955526,0.700501442,0.701720029
